"Year","Y","N"
"001-1929",1,14
"002-1930",2,13
"003-1931",2,13
"004-1932",2,18
"005-1933",3,17
"006-1934",2,13
"007-1935",3,17
"008-1936",0,20
"009-1937",1,21
"010-1938",5,18
"011-1939",7,11
"012-1940",9,10
"013-1941",15,10
"014-1942",1,25
"015-1943",2,18
"016-1944",3,14
"017-1945",3,8
"018-1946",4,6
"019-1947",4,8
"020-1948",3,7
"021-1949",3,7
"022-1950",6,9
"023-1951",7,10
"024-1952",3,13
"025-1953",3,17
"026-1954",7,15
"027-1955",3,14
"028-1956",3,13
"029-1957",4,14
"030-1958",4,13
"031-1959",8,7
"032-1960",3,12
"033-1961",5,11
"034-1962",6,13
"035-1963",6,11
"036-1964",2,14
"037-1965",7,11
"038-1966",3,12
"039-1967",3,12
"040-1968",4,14
"041-1969",4,12
"042-1970",1,15
"043-1971",3,14
"044-1972",5,10
"045-1973",6,13
"046-1974",7,8
"047-1975",5,10
"048-1976",4,12
"049-1977",5,10
"050-1978",7,10
"051-1979",5,12
"052-1980",2,13
"053-1981",6,10
"054-1982",8,8
"055-1983",4,15
"056-1984",2,13
"057-1985",6,9
"058-1986",8,7
"059-1987",9,9
"060-1988",4,12
"061-1989",7,10
"062-1990",4,13
"063-1991",6,11
"064-1992",5,12
"065-1993",6,11
"066-1994",10,10
"067-1995",8,11
"068-1996",8,11
"069-1997",7,13
"070-1998",10,13
"071-1999",8,12
"072-2000",9,14
"073-2001",13,13
"074-2002",9,16
"075-2003",21,7
"076-2004",21,18
"077-2005",18,21
"078-2006",20,17
"079-2007",16,19
"080-2008",14,20
"081-2009",13,22
"082-2010",9,24
"083-2011",18,17
"084-2012",15,19
"085-2013",12,23
"086-2014",19,15
"087-2015",15,19
"088-2016",16,18
"089-2017",17,17
"090-2018",21,14
"091-2019",18,17
"092-2020",11,22
"093-2021",24,10
"094-2022",24,10
