"Position","Const","Created","Modified","Description","Title","URL","Title.Type","IMDb.Rating","Runtime..mins.","Year","Genres","Num.Votes","Release.Date","Directors"
1,"tt0031951","2021-08-14","2021-08-14",NA,"Son of Frankenstein","https://www.imdb.com/title/tt0031951/","movie",7.1,99,1939,"Drama, Horror, Sci-Fi",10518,"1939-01-13","Rowland V. Lee"
2,"tt6217926","2021-08-14","2021-08-14",NA,"Annette","https://www.imdb.com/title/tt6217926/","movie",6.3,141,2021,"Drama, Musical, Romance",19833,"2021-07-06","Leos Carax"
3,"tt9243804","2021-08-14","2021-08-14",NA,"The Green Knight","https://www.imdb.com/title/tt9243804/","movie",6.6,130,2021,"Adventure, Drama, Fantasy",99474,"2021-07-29","David Lowery"
4,"tt2452150","2021-08-14","2021-08-14",NA,"Respect","https://www.imdb.com/title/tt2452150/","movie",6.6,145,2021,"Biography, Drama, Music",14826,"2021-08-12","Liesl Tommy"
5,"tt0099685","2021-08-14","2021-08-14",NA,"Goodfellas","https://www.imdb.com/title/tt0099685/","movie",8.7,145,1990,"Biography, Crime, Drama",1149985,"1990-09-09","Martin Scorsese"
6,"tt6334354","2021-08-14","2021-08-14",NA,"The Suicide Squad","https://www.imdb.com/title/tt6334354/","movie",7.2,132,2021,"Action, Adventure, Comedy, Sci-Fi",345525,"2021-07-28","James Gunn"
7,"tt0046250","2021-08-14","2021-08-14",NA,"Roman Holiday","https://www.imdb.com/title/tt0046250/","movie",8,118,1953,"Comedy, Romance",138846,"1953-08-20","William Wyler"
8,"tt10633456","2021-08-14","2021-08-14",NA,"Minari","https://www.imdb.com/title/tt10633456/","movie",7.4,115,2020,"Drama",80663,"2020-01-26","Lee Isaac Chung"
9,"tt0033870","2021-08-14","2021-08-14",NA,"The Maltese Falcon","https://www.imdb.com/title/tt0033870/","movie",8,100,1941,"Crime, Film-Noir, Mystery, Romance",158915,"1941-10-03","John Huston"
10,"tt9214832","2021-08-14","2021-08-14",NA,"Emma.","https://www.imdb.com/title/tt9214832/","movie",6.7,124,2020,"Comedy, Drama, Romance",54145,"2020-02-13","Autumn de Wilde"
