"Position","Const","Created","Modified","Description","Title","URL","Title.Type","IMDb.Rating","Runtime..mins.","Year","Genres","Num.Votes","Release.Date","Directors"
1,"tt12683198","2020-09-30","2020-09-30",NA,"Beyto","https://www.imdb.com/title/tt12683198/","movie",6.6,98,2020,"Drama",898,"2020-09-25","Gitta Gsell"
2,"tt2241557","2021-03-28","2021-03-28",NA,"Shoplifters of the World","https://www.imdb.com/title/tt2241557/","movie",5.4,90,2021,"Comedy, Drama",886,"2021-03-26","Stephen Kijak"
3,"tt0370986","2021-06-12","2021-06-12",NA,"Mysterious Skin","https://www.imdb.com/title/tt0370986/","movie",7.6,105,2004,"Drama",70109,"2004-09-03","Gregg Araki"
4,"tt0071615","2021-07-11","2021-07-11",NA,"La montaña sagrada","https://www.imdb.com/title/tt0071615/","movie",7.8,114,1973,"Adventure, Drama, Fantasy",42919,"1973-05-31","Alejandro Jodorowsky"
5,"tt0048140","2021-07-14","2021-07-14",NA,"Guys and Dolls","https://www.imdb.com/title/tt0048140/","movie",7.1,150,1955,"Comedy, Crime, Musical, Romance",17811,"1955-11-03","Joseph L. Mankiewicz"
6,"tt0054649","2021-07-14","2021-07-14",NA,"Babes in Toyland","https://www.imdb.com/title/tt0054649/","movie",6.1,106,1961,"Comedy, Family, Fantasy, Musical, Romance",4250,"1961-12-14","Jack Donohue"
7,"tt0042200","2021-07-14","2021-07-14",NA,"Annie Get Your Gun","https://www.imdb.com/title/tt0042200/","movie",6.9,107,1950,"Comedy, Musical, Romance, Western",4909,"1950-05-02","Busby Berkeley, George Sidney"
8,"tt0045537","2021-07-14","2021-07-14",NA,"The Band Wagon","https://www.imdb.com/title/tt0045537/","movie",7.4,112,1953,"Comedy, Musical, Romance",11528,"1953-07-09","Vincente Minnelli"
9,"tt2060510","2021-07-14","2021-07-14",NA,"Jimi Hendrix: Voodoo Child","https://www.imdb.com/title/tt2060510/","movie",7.1,91,2010,"Documentary, Biography, Music",477,"2010-09-18","Bob Smeaton"
10,"tt0049408","2021-07-14","2021-07-14",NA,"The King and I","https://www.imdb.com/title/tt0049408/","movie",7.4,133,1956,"Biography, Drama, Musical, Romance",26220,"1956-06-28","Walter Lang"
11,"tt0048445","2021-07-14","2021-07-14",NA,"Oklahoma!","https://www.imdb.com/title/tt0048445/","movie",7,145,1955,"Comedy, Drama, Musical, Romance, Western",12927,"1955-10-11","Fred Zinnemann"
12,"tt0063385","2021-07-14","2021-07-14",NA,"Oliver!","https://www.imdb.com/title/tt0063385/","movie",7.4,153,1968,"Drama, Family, Musical",38477,"1968-09-26","Carol Reed"
13,"tt0065054","2021-07-14","2021-07-14",NA,"Sweet Charity","https://www.imdb.com/title/tt0065054/","movie",6.9,149,1969,"Comedy, Drama, Music, Musical, Romance",6003,"1969-02-14","Bob Fosse"
14,"tt0047574","2021-07-14","2021-07-14",NA,"There's No Business Like Show Business","https://www.imdb.com/title/tt0047574/","movie",6.4,117,1954,"Comedy, Drama, Musical, Romance",6129,"1954-12-16","Walter Lang"
15,"tt8526872","2021-07-18","2021-07-18",NA,"Dolemite Is My Name","https://www.imdb.com/title/tt8526872/","movie",7.2,118,2019,"Biography, Comedy, Drama",60723,"2019-09-07","Craig Brewer"
16,"tt0959300","2021-07-23","2021-07-23",NA,"The Devil in the White City","https://www.imdb.com/title/tt0959300/","tvMiniSeries",NA,NA,NA,"Drama, History, Thriller",NA,"",""
17,"tt13640696","2021-08-01","2021-08-01",NA,"See How They Run","https://www.imdb.com/title/tt13640696/","movie",NA,98,2022,"Comedy, Mystery",NA,"2022-09-09","Tom George"
18,"tt0082992","2021-08-10","2021-08-10",NA,"Rich and Famous","https://www.imdb.com/title/tt0082992/","movie",5.9,117,1981,"Drama",1734,"1981-10-09","George Cukor"
19,"tt11909878","2021-08-12","2021-08-12",NA,"Hocus Pocus 2","https://www.imdb.com/title/tt11909878/","movie",NA,NA,2022,"Comedy, Family, Fantasy, Horror, Mystery, Romance",NA,"2022-09-30","Anne Fletcher"
20,"tt0096446","2021-08-17","2021-08-17",NA,"Willow","https://www.imdb.com/title/tt0096446/","movie",7.2,126,1988,"Action, Adventure, Drama, Fantasy, Romance",114020,"1988-05-20","Ron Howard"
21,"tt0101761","2021-08-17","2021-08-17",NA,"The Doors","https://www.imdb.com/title/tt0101761/","movie",7.2,140,1991,"Biography, Drama, Music",92743,"1991-02-23","Oliver Stone"
22,"tt0388789","2021-08-20","2021-08-20",NA,"Born Into Brothels: Calcutta's Red Light Kids","https://www.imdb.com/title/tt0388789/","movie",7.2,85,2004,"Documentary, Biography, News",17297,"2004-01-17","Zana Briski, Ross Kauffman"
23,"tt0312004","2021-08-20","2021-08-20",NA,"The Curse of the Were-Rabbit","https://www.imdb.com/title/tt0312004/","movie",7.5,85,2005,"Animation, Adventure, Comedy, Family, Fantasy, Mystery, Sci-Fi",135520,"2005-09-04","Steve Box, Nick Park"
24,"tt0854678","2021-08-20","2021-08-20",NA,"Taxi to the Dark Side","https://www.imdb.com/title/tt0854678/","movie",7.5,106,2007,"Documentary, Crime, History, War",16121,"2007-04-28","Alex Gibney"
25,"tt0497465","2021-08-20","2021-08-20",NA,"Vicky Cristina Barcelona","https://www.imdb.com/title/tt0497465/","movie",7.1,96,2008,"Comedy, Drama, Romance",255365,"2008-05-17","Woody Allen"
26,"tt1213641","2021-08-20","2021-08-20",NA,"First Man","https://www.imdb.com/title/tt1213641/","movie",7.3,141,2018,"Biography, Drama, History",187235,"2018-08-29","Damien Chazelle"
27,"tt0075686","2021-08-20","2021-08-20",NA,"Annie Hall","https://www.imdb.com/title/tt0075686/","movie",8,93,1977,"Comedy, Romance",264841,"1977-03-27","Woody Allen"
28,"tt0144084","2021-08-20","2021-08-20",NA,"American Psycho","https://www.imdb.com/title/tt0144084/","movie",7.6,102,2000,"Crime, Drama, Horror",594321,"2000-01-21","Mary Harron"
29,"tt7775622","2021-08-20","2021-08-20",NA,"Free Solo","https://www.imdb.com/title/tt7775622/","movie",8.1,100,2018,"Documentary, Adventure, Sport",67618,"2018-08-31","Jimmy Chin, Elizabeth Chai Vasarhelyi"
30,"tt0073486","2021-08-20","2021-08-20",NA,"One Flew Over the Cuckoo's Nest","https://www.imdb.com/title/tt0073486/","movie",8.7,133,1975,"Drama",996411,"1975-11-19","Milos Forman"
31,"tt2125608","2021-08-20","2021-08-20",NA,"Searching for Sugar Man","https://www.imdb.com/title/tt2125608/","movie",8.2,86,2012,"Documentary, Biography, Music",68338,"2012-01-19","Malik Bendjelloul"
32,"tt0117951","2021-08-20","2021-08-20",NA,"Trainspotting","https://www.imdb.com/title/tt0117951/","movie",8.1,93,1996,"Drama",681496,"1996-02-23","Danny Boyle"
33,"tt8923484","2021-08-20","2021-08-20",NA,"Crip Camp","https://www.imdb.com/title/tt8923484/","movie",7.7,106,2020,"Documentary, History",7535,"2020-01-23","Nicole Newnham, James Lebrecht"
34,"tt4284010","2021-08-20","2021-08-20",NA,"What Happened, Miss Simone?","https://www.imdb.com/title/tt4284010/","movie",7.6,101,2015,"Documentary, Biography, Music",13952,"2015-01-22","Liz Garbus"
35,"tt4353250","2021-08-20","2021-08-20",NA,"The Last Black Man in San Francisco","https://www.imdb.com/title/tt4353250/","movie",7.3,121,2019,"Drama",19256,"2019-01-26","Joe Talbot"
36,"tt14858658","2021-08-20","2021-08-20",NA,"Pussy Island","https://www.imdb.com/title/tt14858658/","movie",NA,NA,NA,"Thriller",NA,"","Zoë Kravitz"
37,"tt9731598","2021-08-20","2021-08-20",NA,"Bros","https://www.imdb.com/title/tt9731598/","movie",NA,NA,2022,"Comedy, Romance",NA,"2022-09-10","Nicholas Stoller"
38,"tt0034240","2021-08-29","2021-08-29",NA,"Sullivan's Travels","https://www.imdb.com/title/tt0034240/","movie",7.9,90,1941,"Adventure, Comedy, Drama, Romance",26384,"1941-12-05","Preston Sturges"
39,"tt0103919","2021-08-31","2021-08-31",NA,"Candyman","https://www.imdb.com/title/tt0103919/","movie",6.7,99,1992,"Horror, Thriller",90416,"1992-09-11","Bernard Rose"
40,"tt0040725","2021-09-03","2021-09-03",NA,"The Red Shoes","https://www.imdb.com/title/tt0040725/","movie",8.1,135,1948,"Drama, Music, Romance",35047,"1948-07-22","Michael Powell, Emeric Pressburger"
41,"tt0066580","2021-09-16","2021-09-16",NA,"Woodstock","https://www.imdb.com/title/tt0066580/","movie",8.1,184,1970,"Documentary, History, Music",17406,"1970-03-26","Michael Wadleigh"
42,"tt1462764","2021-09-16","2021-09-16",NA,"Untitled Indiana Jones Project","https://www.imdb.com/title/tt1462764/","movie",NA,NA,2023,"Action, Adventure",NA,"2023-06-30","James Mangold"
43,"tt2531318","2021-09-16","2021-09-16",NA,"The Beatles: Eight Days a Week - The Touring Years","https://www.imdb.com/title/tt2531318/","movie",7.8,106,2016,"Documentary, History, Music",13045,"2016-09-15","Ron Howard"
44,"tt8399720","2021-09-16","2021-09-16",NA,"Tina","https://www.imdb.com/title/tt8399720/","movie",7.9,118,2021,"Documentary, Biography, History, Music",4830,"2021-03-02","Daniel Lindsay, T.J. Martin"
45,"tt13679628","2021-09-16","2021-09-16",NA,"McCartney 3,2,1","https://www.imdb.com/title/tt13679628/","tvMiniSeries",8.7,30,2021,"Documentary, Biography, Music",2882,"2021-07-16",""
46,"tt0088258","2021-09-16","2021-09-16",NA,"This Is Spinal Tap","https://www.imdb.com/title/tt0088258/","movie",7.9,82,1984,"Comedy, Music",139519,"1984-03-02","Rob Reiner"
47,"tt11874226","2021-09-16","2021-09-16",NA,"American Utopia","https://www.imdb.com/title/tt11874226/","movie",8.2,105,2020,"Documentary, Music, Musical",4569,"2020-09-10","Spike Lee"
48,"tt1113829","2021-09-16","2021-09-16",NA,"George Harrison: Living in the Material World","https://www.imdb.com/title/tt1113829/","movie",8.1,208,2011,"Documentary, Biography, Music",11734,"2011-09-02","Martin Scorsese"
