"AwardType","Films","Films.Y","Films.N","Winner.Y","Winner.N","Winner.Per","Nominee.Y","Nominee.N","Nominee.Per"
"Animated",98,97,1,23,NA,NA,75,1,0.99
"Director",242,173,69,88,13,0.87,86,57,0.6
"Documentary",387,79,308,25,62,0.29,55,247,0.18
"Effects",724,399,325,161,60,0.73,239,266,0.47
"International",338,104,234,47,22,0.68,58,213,0.21
"Music",944,365,579,131,81,0.62,235,499,0.32
"Performance",1002,538,464,236,92,0.72,303,373,0.45
"Picture",275,207,68,87,11,0.89,121,58,0.68
"Short",1245,540,705,154,137,0.53,387,569,0.4
"Visual Style",969,426,543,185,85,0.69,242,459,0.35
"Writing",728,403,325,151,51,0.75,253,275,0.48
